Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1961,1961,ha,7000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1961,1961,100 g/ha,136920,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1961,1961,t,95844,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1962,1962,ha,8000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1962,1962,100 g/ha,132414,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1962,1962,t,105931,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1963,1963,ha,8000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1963,1963,100 g/ha,145300,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1963,1963,t,116240,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1964,1964,ha,10000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1964,1964,100 g/ha,149158,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1964,1964,t,149158,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1965,1965,ha,10000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1965,1965,100 g/ha,139035,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1965,1965,t,139035,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1966,1966,ha,12000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1966,1966,100 g/ha,158963,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1966,1966,t,190756,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1967,1967,ha,12000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1967,1967,100 g/ha,152745,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1967,1967,t,183294,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1968,1968,ha,15000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1968,1968,100 g/ha,141369,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1968,1968,t,212054,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1969,1969,ha,15000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1969,1969,100 g/ha,138335,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1969,1969,t,207502,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1970,1970,ha,15000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1970,1970,100 g/ha,148170,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1970,1970,t,222255,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1971,1971,ha,17000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1971,1971,100 g/ha,143041,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1971,1971,t,243170,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1972,1972,ha,18000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1972,1972,100 g/ha,176521,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1972,1972,t,317737,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1973,1973,ha,18000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1973,1973,100 g/ha,157717,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1973,1973,t,283891,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1974,1974,ha,18000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1974,1974,100 g/ha,157563,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1974,1974,t,283613,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1975,1975,ha,19000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1975,1975,100 g/ha,187202,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1975,1975,t,355683,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1976,1976,ha,19000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1976,1976,100 g/ha,195273,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1976,1976,t,371019,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1977,1977,ha,19000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1977,1977,100 g/ha,148091,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1977,1977,t,281373,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1978,1978,ha,20000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1978,1978,100 g/ha,190715,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1978,1978,t,381429,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1979,1979,ha,20000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1979,1979,100 g/ha,181732,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1979,1979,t,363464,A,Official figure,
QCL,Crops and livestock products,202,South Africa,5312,Area harvested,515,Apples,1980,1980,ha,21000,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5419,Yield,515,Apples,1980,1980,100 g/ha,203062,E,Estimated value,
QCL,Crops and livestock products,202,South Africa,5510,Production,515,Apples,1980,1980,t,426430,A,Official figure,
