Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1961,1961,An,140000.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1962,1962,An,137000.0,E,Estimated value,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1963,1963,An,135000.0,E,Estimated value,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1964,1964,An,133000.0,E,Estimated value,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1965,1965,An,130000.0,E,Estimated value,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1966,1966,An,38700.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1967,1967,An,37500.0,E,Estimated value,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1968,1968,An,36000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1969,1969,An,37500.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1970,1970,An,36700.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1971,1971,An,37500.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1972,1972,An,36000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1973,1973,An,34600.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1974,1974,An,34000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1975,1975,An,33400.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1976,1976,An,32000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1977,1977,An,27200.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1978,1978,An,27000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1979,1979,An,28000.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1980,1980,An,25080.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1981,1981,An,20000.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1982,1982,An,18000.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1983,1983,An,10000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1984,1984,An,13000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1985,1985,An,14070.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1986,1986,An,13000.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1987,1987,An,13320.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1988,1988,An,14380.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1989,1989,An,13360.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1990,1990,An,17830.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5111,Stocks,1107,Asses,1991,1991,An,29360.0,A,Official figure,
QCL,Crops and livestock products,248,Yugoslav SFR,5114,Stocks,1181,Bees,1961,1961,No,550000.0,E,Estimated value,
QCL,Crops and livestock products,248,Yugoslav SFR,5114,Stocks,1181,Bees,1962,1962,No,675000.0,E,Estimated value,
