Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1961,1961,An,129000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1962,1962,An,120000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1963,1963,An,110000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1964,1964,An,100000.0,A,Official figure,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1965,1965,An,100000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1966,1966,An,98000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1967,1967,An,98000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1968,1968,An,97000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1969,1969,An,95000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1970,1970,An,94000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1971,1971,An,94000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1972,1972,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1973,1973,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1974,1974,An,85198.0,A,Official figure,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1975,1975,An,88000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1976,1976,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1977,1977,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1978,1978,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1979,1979,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1980,1980,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1981,1981,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1982,1982,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1983,1983,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1984,1984,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1985,1985,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1986,1986,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1987,1987,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1988,1988,An,90000.0,E,Estimated value,
QCL,Crops and livestock products,9,Argentina,5111,Stocks,1107,Asses,1989,1989,An,90000.0,E,Estimated value,
